station_name,station_latitude,station_longitude,date
Newkirkgate,55.97070402016615,-3.171623996101516,2019-03-28
Western General,55.96345848770889,-3.23280956008216,2019-03-29
Pollock Halls Virtual,55.94034806856411,-3.172108169850503,2019-04-14
Dundas Street,55.96094446922441,-3.201386994249105,2019-04-22
Hillside Crescent 2,55.957803310852015,-3.1754794362148,2019-04-22
Hillside Crescent 1,55.95791033111316,-3.180692837632364,2019-04-23
Cramond Foreshore,55.98002374180832,-3.300622016981151,2019-04-23
Henderson Row,55.96026010209808,-3.203912595837096,2019-04-23
Gladstone Terrace,55.93802439880083,-3.184979210204801,2019-04-23
Comely Bank Road,55.95940686974708,-3.215659820662267,2019-04-24
Balgreen,55.93893772779211,-3.251173333050928,2019-04-24
Crichton Street,55.94474957118208,-3.186542135633317,2019-04-24
EICC,55.94604282192561,-3.210484908343801,2019-04-24
Roseburn Street,55.94446626439512,-3.234541218248978,2019-04-24
Corstorphine Road,55.94174288122498,-3.271484360775275,2019-04-24
Whitehouse Road,55.96152699979099,-3.306114175491529,2019-04-24
Tollcross,55.94428069681837,-3.202964359237739,2019-04-25
St. John's Road 2,55.94294485385191,-3.290794069257344,2019-04-25
Murrayfield Avenue,55.94632179137708,-3.236542329964095,2019-04-25
Wester Coates Terrace,55.9456092021698,-3.231715619159217,2019-04-26
Craigleith Road,55.95661859471628,-3.237802968201094,2019-04-27
Edinburgh Zoo,55.942221825711776,-3.268697484588187,2019-04-27
Murrayfield Tram,55.9419563895648,-3.237802024128314,2019-04-27
Gamekeeper's Road,55.96953169937321,-3.307305425252252,2019-04-27
Murrayfield,55.94476686576929,-3.243687888944919,2019-04-28
St. John's Road 1,55.94274592050117,-3.281623013233002,2019-04-29
Logie Green Road,55.96403450946105,-3.195673725279903,2019-04-30
IGMM,55.96248692705142,-3.232031328469361,2019-05-01
Queensferry Road,55.95454278693572,-3.23472817617926,2019-05-01
Corstorphine Road - Pinkhill,55.942364438846695,-3.265384123501235,2019-05-03
West Crosscauseway,55.94386198333096,-3.184972223259024,2019-05-03
West Newington Place,55.93821225851473,-3.17897226737648,2019-05-03
Dunbar’s Close Garden,55.951813501278245,-3.178725911660876,2019-05-05
Corn Exchange - walk cycle event,55.92701363904687,-3.248556775310362,2019-06-12
Sustrans - walk cycle event,55.945452213917534,-3.219679557435938,2019-06-12
Hillside Crescent,55.957792800284125,-3.175798619087572,2019-06-13
Ingliston Park and Ride (19th to 23rd June),55.93909048596021,-3.355912910873826,2019-06-21
Royal Highland Show - West Gate (19th to 23rd June),55.94065528387753,-3.381606403941987,2019-06-21
Royal Highland Show - East Gate (19th to 23rd June),55.940906749395,-3.3688722251728223,2019-06-22
Meadows - Edinburgh Climate Festival,55.94173596765826,-3.190360574257738,2019-07-06
Hunter Square,55.94969158307013,-3.18781281937504,2019-07-24
Grassmarket,55.947097278583385,-3.1972457326126,2019-07-25
Meadow Place 2,55.94023763168944,-3.194640214184801,2019-07-30
Bruntsfield links,55.93715871276677,-3.206435329645956,2019-07-30
Constitution Street,55.97544142756835,-3.166806411195239,2019-07-31
Drummond Street,55.9483365370385,-3.18226129953905,2019-08-02
The Tron,55.95003729291336,-3.187821518826922,2019-08-06
RHC - Edinburgh Festival Camping (05th to 26th August),55.94065528387753,-3.381606403941987,2019-08-08
Fountain Court  - Apartments (RESIDENTS ONLY),55.94380585491596,-3.211238456749925,2019-08-10
Holyrood Park - Woman's Tour Of Scotland (Event 11/08/19),55.95135352288074,-3.168590609786974,2019-08-11
Queen Margaret University,55.93193490858167,-3.073045771766146,2019-08-13
Eden Locke - Aparthotel (RESIDENTS ONLY),55.95264053655981,-3.205665534467016,2019-08-14
Haymarket - Murrayfield Rugby Event,55.945452213917534,-3.219679557435938,2019-08-24
Lothian Road,55.94740919920712,-3.205765497136553,2019-08-29
Milton Road - Edinburgh College,55.94405135341408,-3.098567246199309,2019-09-03
Kings Buildings - Murchison House,55.92446420087144,-3.178731512475451,2019-09-05
Sighthill - Edinburgh College,55.926664566092654,-3.289467852759799,2019-09-06
Brunswick Place - Virtual,55.960929747664,-3.181005314780577,2019-09-06
Fort Kinnaird,55.93437199635734,-3.105037819791278,2019-09-10
Pleasance - Edinburgh University Sports Fair,55.94820962824952,-3.181597452807864,2019-09-11
Holyrood Road,55.94955950619123,-3.180413257527789,2019-09-12
Belford Road,55.95197357717703,-3.226124804664096,2019-09-12
HSBC UK Lets Ride - Meadows Event,55.93997775814967,-3.189862157672223,2019-09-22
Haymarket Station,55.94558221753474,-3.218192059354351,2019-10-01
Heriot Watt - Student Accomodation (Anna MacLeod Halls),55.90840398606208,-3.328825358925314,2019-10-03
Heriot Watt - Edinburgh Business School,55.90880966452917,-3.320141905887681,2019-10-03
Surgeons Hall,55.94664279961712,-3.185474585938891,2019-10-10
Portobello - Kings Road,55.95791540692348,-3.118332042090287,2019-10-24
McDonald Road,55.9640310527501,-3.185175372950425,2019-10-24
Depot Virtual,55.97233473082818,-3.155781602605998,2019-10-25
Pleasance Courtyard,55.947566653309394,-3.181591941706529,2019-10-25
Cycling Scotland Conference,55.940886347739024,-3.240777565829148,2019-11-04
Crescent House,55.96391066325888,-3.191861874639585,2019-11-07
Scotland Street,55.96037972054591,-3.195470336902758,2019-11-08
Dean Street,55.957278012740645,-3.214285387389054,2019-11-16
Edinburgh Royal Infirmary,55.92063236018849,-3.140540732733598,2019-11-20
IGMM - Western General,55.96264210870907,-3.231915547243943,2019-11-21
Waitrose Comely Bank,55.95953624971772,-3.223434402338853,2019-11-21
Meggetland,55.92758664038103,-3.23367105304419,2019-11-30
Western General Hospital,55.963453810934496,-3.232909305683961,2019-12-01
Haymarket Terrace,55.946063966641006,-3.223024024359574,2019-12-06
Bruntsfield Links,55.937123239991095,-3.206431879393449,2019-12-12
Balgreen Road,55.93894174548949,-3.251110776059022,2019-12-14
Ellersly Road,55.945045875212095,-3.250881447188249,2019-12-20
Joppa,55.94894930668582,-3.094727261654725,2020-01-09
Chambers Street,55.94760044619224,-3.188919736735215,2020-01-09
Gorgie Road,55.9387414422504,-3.229909254900902,2020-01-19
Royal Edinburgh Hospital,55.92781815597736,-3.213307722203224,2020-01-22
Abbeyhill,55.95524788917224,-3.17221628009507,2020-01-23
Dynamic Earth,55.951089465236365,-3.17572460948655,2020-01-30
Heriot Watt - Student Accommodation,55.90841344459825,-3.328783525816887,2020-02-04
Duke Street,55.96901164826488,-3.16739470303429,2020-02-06
Drumsheugh Place,55.95159412232485,-3.212354285094022,2020-02-06
Edinburgh Park Station,55.92738267693901,-3.307442444578868,2020-02-07
Boroughmuir,55.94007146917616,-3.215335840688084,2020-02-07
The Loan,55.98989968232655,-3.397772901929727,2020-03-12
Borrowman Square,55.98260596953824,-3.381454898058535,2020-03-13
Hopetoun Road,55.99018214620787,-3.404603924278717,2020-03-17
Forth Bridge Visitors Centre,55.987743170866025,-3.40375244599943,2020-03-18
Dalmeny Station,55.98676132611317,-3.382426853781425,2020-03-20
Hawes Pier,55.99052952143077,-3.385596660576908,2020-03-20
Ingliston Park & Ride,55.9387919459937,-3.355556216932513,2020-03-21
Port Edgar Marina,55.992957267668345,-3.407156205559118,2020-03-22
Tesco Ferrymuir,55.98376618789104,-3.401351801602175,2020-03-22
Scotstoun House,55.98110725959637,-3.39421060796127,2020-03-25
Edinburgh Park Central,55.931168715771065,-3.314414297805683,2020-03-30
Leith Walk North,55.96791807044289,-3.17358629706473,2020-09-02
Musselburgh Lidl,55.94388031687606,-3.066753916217862,2020-09-18
Musselburgh Brunton Hall,55.94400897108537,-3.058492533629163,2020-09-25
Picardy Place,55.95653524179326,-3.18624761207468,2020-10-09
