,start_station_name,start_station_description,start_station_latitude,start_station_longitude,frequency_start_station
121,Haymarket Station,Haymarket Station,55.94558221753474,-3.218192059354351,3248
124,Surgeons Hall,East side of Nicolson Street,55.94664279961712,-3.185474585938891,3216
125,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090287,11843
126,McDonald Road,Next to Fire Station,55.9640310527501,-3.185175372950425,3672
127,Pleasance Courtyard,"Edinburgh University, The Pleasance",55.947566653309394,-3.181591941706529,1380
130,Scotland Street,Corner with Royal Crescent,55.96037972054591,-3.195470336902758,2560
131,Dean Street,Corner of Dean Park Mews,55.957278012740645,-3.214285387389054,1327
132,Edinburgh Royal Infirmary,"Little France, Old Dalkeith Road, Edinburgh",55.92063236018849,-3.140540732733598,1417
133,IGMM - Western General,The Institute of Genetics and Molecular Medicine,55.96264210870907,-3.231915547243943,2166
134,Waitrose Comely Bank,On Fettes Avenue next to Waitrose,55.95953624971772,-3.223434402338853,2385
135,Western General Hospital,Porterfield Road,55.963453810934496,-3.232909305683961,1892
136,Meggetland,Meggetland Sports Complex,55.92758664038103,-3.23367105304419,2179
137,Haymarket Terrace,Corner of Magdala Crescent,55.946063966641006,-3.223024024359574,2546
138,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449,7001
139,Balgreen Road,Opposite Jenners Depository,55.93894174548949,-3.251110776059022,1884
141,Chambers Street,Outside National Museum,55.94760044619224,-3.188919736735215,2261
142,Joppa,East end of Promenade,55.94894930668582,-3.094727261654725,3240
143,Gorgie Road,Corner with McLeod Street,55.9387414422504,-3.229909254900902,2773
145,Abbeyhill,Near Abbey Mount,55.95524788917224,-3.17221628009507,4686
146,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655,4694
148,Drumsheugh Place,Corner with Drumsheugh Gardens,55.95159412232485,-3.212354285094022,2866
149,Boroughmuir,Off Gibson Terrace,55.94007146917616,-3.215335840688084,3976
150,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429,7288
157,Hopetoun Road,Junction with Farquhar Terrace/Boness Road,55.99018214620787,-3.404603924278717,1058
159,Hawes Pier,Off Newhalls Road,55.99052952143077,-3.385596660576908,1643
164,Leith Walk North,Next to Allander House,55.96791807044289,-3.17358629706473,1142
167,Picardy Place,Outside Omni Centre,55.95653524179326,-3.18624761207468,1929
